id,title,title_tr,created_at,updated_at,deleted
75,Haiti,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
76,Honduras,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
77,Hungary,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
78,Iceland,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
79,India,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
80,Indonesia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
81,Iran,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
82,Iraq,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
83,Ireland,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
84,Israel,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
85,Italy,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
86,Jamaica,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
87,Japan,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
88,Jordan,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
89,Kazakhstan,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
90,Kenya,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
91,Kiribati,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
92,Kosovo,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
93,Kuwait,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
94,Kyrgyzstan,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
95,Laos,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
96,Latvia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
97,Lebanon,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
98,Lesotho,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
99,Liberia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
100,Libya,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
101,Liechtenstein,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
102,Lithuania,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
103,Luxembourg,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
104,Madagascar,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
105,Malawi,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
106,Malaysia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
107,Maldives,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
108,Mali,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
109,Malta,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
110,Marshall Islands,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
111,Mauritania,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
112,Mauritius,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
113,Mexico,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
114,Micronesia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
115,Moldova,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
116,Monaco,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
117,Mongolia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
118,Montenegro,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
119,Morocco,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
120,Mozambique,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
121,Namibia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
122,Nauru,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
123,Nepal,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
124,Netherlands,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
125,New Zealand,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
126,Nicaragua,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
127,Niger,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
128,Nigeria,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
129,North Korea,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
130,North Macedonia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
131,Norway,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
132,Oman,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
133,Pakistan,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
134,Palau,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
135,Palestine,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
136,Panama,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
137,Papua New Guinea,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
138,Paraguay,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
139,Peru,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
140,Philippines,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
141,Poland,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
142,Portugal,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
143,Qatar,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
144,Republic of the Congo,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
145,Romania,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
146,Russia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
147,Rwanda,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
148,Saint Kitts and Nevis,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
149,Saint Lucia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
150,Saint Vincent and the Grenadines,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
151,Samoa,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
152,San Marino,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
153,Sao Tome and Principe,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
154,Saudi Arabia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
155,Senegal,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
156,Serbia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
157,Seychelles,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
158,Sierra Leone,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
159,Singapore,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
160,Slovakia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
161,Slovenia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
162,Solomon Islands,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
163,Somalia,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
164,South Africa,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
165,South Korea,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
166,South Sudan,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
167,Spain,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
168,Sri Lanka,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
169,Sudan,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
170,Suriname,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
171,Sweden,,2023-11-07 22:18:28.781808,2023-11-07 22:18:28.781808,f
