id,title,reverse_title,title_tr,reverse_title_tr,created_at,updated_at,deleted
1,Duplicate,,,,2023-11-07 22:18:28.771592,2023-11-07 22:18:28.771592,
2,Other,,,,2023-11-07 22:18:28.771592,2023-11-07 22:18:28.771592,
3,Part of a Series,,,,2023-11-07 22:18:28.771592,2023-11-07 22:18:28.771592,
4,Same Object,,,,2023-11-07 22:18:28.771592,2023-11-07 22:18:28.771592,
5,Same Person,,,,2023-11-07 22:18:28.771592,2023-11-07 22:18:28.771592,
6,Potentially Duplicate,,,,2023-11-07 22:18:28.771592,2023-11-07 22:18:28.771592,
7,Potentially Related,,,,2023-11-07 22:18:28.771592,2023-11-07 22:18:28.771592,
